judul,lokasi,harga,luas_tanah_m2,luas_bangunan_m2,kamar_tidur,kamar_mandi,garasi,poster,posting_date
Rumah Besar Bergaya Modern Di Cornerstone House Dekat Cinere,"Cinere, Depok","2,52 Miliar",132,125,4,3,1,PASHOUSES ID,18 Agustus 2022
Rumah Luas Siap Huni di Bojongsari Depok Bisa Kpr,"Bojong Sari, Depok",870 Juta,140,131,3,1,1,PASHOUSES ID,18 Agustus 2022
Rumah Minimalis Bebas Banjir di Tamansari Puri Bali,"Bojong Sari, Depok",840 Juta,108,90,2,1,1,PASHOUSES ID,18 Agustus 2022
Rumah  Dekat Tol Kukusan Beji Dan Nempel Kampus Ui Depok,"Beji, Depok",995 Juta,72,75,3,2,2,Udin Kido,17 Agustus 2022
Rumah 2 Lantai Tanah Nya Luas di Alun Alun Boulevard Gdc Depok,"Cilodong, Depok",970 Juta,84,64,3,3,2,Udin Kido,11 Agustus 2022
Rumah 2 Lantai Termurah Dan Terlaris Dekat Gdc Dan Stasiun Depok,"Cilodong, Depok",741 Juta,63,60,3,2,1,Udin Kido,11 Agustus 2022
Rumah Strategis Bebas Banjir Dekat Cinere Harga Nego,"Cinere, Depok","1,41 Miliar",180,112,3,3,1,PASHOUSES ID,10 Agustus 2022
Rumah Mewah Minimalis Terbaik Bata Merah Di Kelapa Dua Depok,"Kelapa Dua, Depok","1,58 Miliar",84,90,3,3,1,ridwan zulfikar,31 Agustus 2022
Jual Cepat Rumah Minimalis Strategis Dekat Stasiun Citayam,"Citayam, Depok",702 Juta,91,80,2,2,1,PASHOUSES ID,31 Agustus 2022
Rumah Siap Huni di Perumahan Palm Residence Bebas Banjir Siap Kpr,"Sawangan, Depok",750 Juta,72,43,1,1,1,Irfan Fahreza,31 Agustus 2022
Termewah Murah Kota Mandiri Baru Banyak Pejabat Negara,"Sawangan, Depok","1,8 Miliar",112,110,3,3,,PIrman,24 Agustus 2022
hunian eksklusif dengan kualitas bangunan yang kokoh dekat dengan 2 Tol utama,"Cibubur, Depok",785 Juta,90,60,2,1,1,Halil Ibrahim,17 Agustus 2022
Rumah Cluster Siap Huni Bebas Banjir Area Sawangan Strategis Dekat Pusat Perbelanjaan Harga Nego,"Sawangan, Depok","1,02 Miliar",84,40,2,2,1,PASHOUSES ID,10 Agustus 2022
Rumah 2 Lantai Strategis Siap Huni di Perum Matoa Hill Bisa Kpr,"Limo, Depok","1,98 Miliar",95,105,3,2,1,PASHOUSES ID,30 Agustus 2022
Rumah pinggir jalan model Scandinavian 2 lantai Pancoran Mas Dekat Tol Sawangan,"Pancoran Mas, Depok",800 Juta,75,70,3,2,,Mira Fatmazora,29 Agustus 2022
Rumah Nyaman Siap Huni 700 Meter Ke Tol Desari di Pancoran Mas,"Cinere, Depok","1,28 Miliar",89,125,4,3,2,Muhammad Yusuf Muharram,23 Agustus 2022
Rumah 2 Lantai Hook Khusus Penyuka Luas Tanah Besar,"Sawangan, Depok","1,09 Miliar",163,68,3,2,2,Vanadi Putra,22 Agustus 2022
Rumah Seken Minimalis Harga Nego Dekat Cibubur,"Sukatani, Depok",945 Juta,105,60,2,1,1,PASHOUSES ID,22 Agustus 2022
Rumah Strategis Di Perum Tamansari Puribali Cluster Bedugul Bojong Sari Harga Nego,"Bojong Sari, Depok",780 Juta,72,42,2,1,1,PASHOUSES ID,22 Agustus 2022
Rumah Minimalis Strategis Di Trevista Park Bojong Sari Dekat Tol Serpong Cinere,"Bojong Sari, Depok","1,02 Miliar",84,40,2,2,1,PASHOUSES ID,22 Agustus 2022
Rumah Seken Siap Huni Di Tapos Depok Harga Nego,"Tapos, Depok","1,02 Miliar",86,50,2,1,1,PASHOUSES ID,22 Agustus 2022
Rumah Minimalis Siap Huni di Perum Taman Jasmine Mas Bisa Kpr,"Bojong Sari, Depok",900 Juta,81,81,3,1,1,PASHOUSES ID,22 Agustus 2022
Rumah 2 Lantai di Perum Depok Maharaja Harga Nego Siap Huni,"Pancoran Mas, Depok","1,2 Miliar",120,100,3,3,1,PASHOUSES ID,22 Agustus 2022
Rumah Minimalis Asri Bebas Banjir di Tapos Depok,"Tapos, Depok","1,5 Miliar",164,104,3,3,1,PASHOUSES ID,09 Agustus 2022
Rumah 2 Lantai Dekat Sawangan Harga All In Bisa Kpr,"Sawangan, Depok","1,2 Miliar",120,100,3,3,1,PASHOUSES ID,09 Agustus 2022
Rumah Strategis Di Pomentia Residence Bebas Banjir Dekat Cinere,"Cinere, Depok","2,64 Miliar",110,140,4,4,1,PASHOUSES ID,09 Agustus 2022
Rumah Strategis Area Sawangan Dekat Pusat Perbelanjaan Bisa Kpr,"Sawangan, Depok",840 Juta,108,90,2,1,1,PASHOUSES ID,09 Agustus 2022
Rumah Strategis Dekat Tol Di Istana Griya Cinangka Sawangan Bebas Banjir Harga Nego,"Sawangan, Depok",725 Juta,88,50,2,1,1,PASHOUSES ID,09 Agustus 2022
Rumah Strategis Siap Huni di Diamond Andara Residence Dekat Cinere,"Cinere, Depok","1,4 Miliar",78,120,3,2,,Astried Eviana Utami,08 Agustus 2022
Rumah 2 Lantai Strategis di Cornerstone House Dekat Cinere,"Cinere, Depok","2,52 Miliar",132,125,4,3,1,Meti Muslikhatun,08 Agustus 2022
Rumah di depok dekat gerbang tol,"Sawangan, Depok",300 Juta,60,40,2,1,1,Supriyadi Supriyadi,29 Agustus 2022
Rumah Moderen Dan Berkualit Dan Strategis,"Sawangan, Depok",400 Juta,64,40,2,1,1,Andrean S Sinatra,29 Agustus 2022
Rumah Murah Nyaman 5 Menit Ke Pintu Tol di Pancoran Mas,"Pancoran Mas, Depok",599 Juta,87,50,2,1,1,Muhammad Yusuf Muharram,28 Agustus 2022
Rumah 2 lantai 5 menit ke kampus UI Depok dan Tol kukusan Beji,"Beji, Depok","1,5 Miliar",100,120,4,3,2,Udin Kido,21 Agustus 2022
Rumah 2 Lantai Pinggir Jalan Gaya Bali 10 Menit ke Tol Cimanggis,"Cimanggis, Depok",854 Juta,73,56,3,2,,Abdul Mutholib,20 Agustus 2022
Rumah Depok Cibubur 2 Lantai Gaya Bali Dekat Tol,"Cibubur, Depok",959 Juta,73,69,3,2,,Abdul Mutholib,20 Agustus 2022
Rumah Murah Berkualitas SHM - Sertifikat Hak Milik,"Pasir Putih, Depok",300 Juta,67,45,2,1,1,Yoga juliansyah,13 Agustus 2022
Rumah termurah dan termewah di kota depok,"Sawangan, Depok",325 Juta,60,40,2,1,,Yoga juliansyah,13 Agustus 2022
Rumah Luas Siap Huni di Bojongsari Depok Bebas Banjir Bisa Kpr,"Bojong Sari, Depok",870 Juta,140,131,3,1,,Irfan Fahreza,20 Agustus 2022
Rumah Siap Huni di Tamansari Puri Bali Harga Nego,"Bojong Sari, Depok",840 Juta,108,90,2,1,1,Irfan Fahreza,20 Agustus 2022
Rumah Modern Cornerstone House Dekat Pancoran Mas Bisa Nego,"Pancoran Mas, Depok","2,52 Miliar",132,125,4,3,2,Irfan Fahreza,20 Agustus 2022
Rumah Luas 2 Lantai Jual Cepat di Limo Residence Siap Huni Bisa KPR,"Limo, Depok","1,41 Miliar",112,180,3,3,,Irfan Fahreza,20 Agustus 2022
Rumah Strategis Dekat Tol Di Istana Griya Cinangka Sawangan Bebas Banjir Harga Nego,"Sawangan, Depok",725 Juta,88,50,2,1,,Irfan Fahreza,20 Agustus 2022
Rumah di Pekapuran Depok Gaya Bali Termurah 10 Menit Tol Cimanggis Dekat Stasiun Pocin,"Cimanggis, Depok",550 Juta,63,37,2,1,1,Datu Meirina,19 Agustus 2022
